id,domain,surface,action,operations,payload,target,transport,n8n_dependency,rule_status,adapter_status,read_after_write,evidence,next
"I04","견적문의","PC 문의 상세·응대 폼","비종료 응대·상태·활동·다음행동","inquiry_status/progress","inquiry_id,from_status,target=step:0..5,did,result,next,due; client actor/at stripped","inquiries status/response timestamps/next_action_date + replacement next_actions + stage_history + private audit/receipt","23-op cumulative candidate; existing external op/ACK retained; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:6916-6959; sql/inquiry-stage-progress/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I05","견적문의","PC Control Center","담당 회수","inquiry_unassign","inquiry_id,from,reason,actor,at","inquiries assignment/status + history/private receipt/audit","strict Staging Supabase; current UI n8n","YES","CONFIRMED","STAGING_COMPAT_PASS_FROZEN","YES_ASSIGNMENT_STATUS_HISTORY","crm.html:7816; sql/operational-bundle/20260906; docs/operational-cutover-20260906/operational-bundle-final.json","UI Adapter 연결 후 회귀만 수행"
"I06","견적문의","PC Control Center","보류","inquiry_status","inquiry_id,from_status,to_status,reason,actor,at","inquiries.status + private inquiry audit/receipt + scoped hold projection","17-op chained Dispatcher/read/UI candidate after inquiry reclassify; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:7816; sql/inquiry-hold/20260906; docs/operational-cutover-20260906/inquiry-management-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I07","견적문의","PC 문의 split/bulk","Next·완료·체크","next_action/inquiry_next_set; next_action_complete/inquiry_next_complete; stage_check/inquiry_check","inquiry_id,text,due_at; server action_id; fixed item_index,checked","inquiry next_actions + private checklist/audit/receipt","23-op cumulative candidate; existing external ops/Deal meanings retained; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:6360,6494,6874,6892; sql/inquiry-action-check/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I08","견적문의","모바일 오늘","문의 후속일 연기","inquiry_followup","due_at + fixed reason; client display state stripped","inquiries.next_action_date + private inquiry audit/receipt","21-op chained Dispatcher/mobile Today read-consumer candidate after purge; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","mobile.html:2381; sql/inquiry-followup/20260906; docs/operational-cutover-20260906/inquiry-management-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I09","견적문의","PC 문의 상세·Pipeline 전환","기존 Deal 연결 또는 신규 Deal 생성","transition; opportunity_create","internal intent,inquiry_id,promotion_mode,inquiry_status,server-reviewed owner,stage/reason,optional amount/site/client_ref","deals.origin_inquiry_id + deals/stage_history/activity + Deal/inquiry private audit + receipt","23-op cumulative candidate; existing external ops/ACK retained; Staging read-only preflight PASS; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","STAGING_READONLY_PREFLIGHT_PASS_LOCAL_CHAIN_DB_UI_PASS","crm.html:6549-6592,6743-6783; sql/inquiry-pipeline-lineage/20260906; docs/operational-cutover-20260906/pipeline-lifecycle-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I10","견적문의","PC 연결 확인","문의와 Deal 계보 연결","lineage_link","inquiry_id normalized from origin_inquiry_id; client actor/time/site display discarded","deals.origin_inquiry_id + Deal/inquiry private audit + receipt","23-op cumulative candidate; existing external op/ACK retained; Staging read-only preflight PASS; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","STAGING_READONLY_PREFLIGHT_PASS_LOCAL_CHAIN_DB_UI_PASS","crm.html:6266-6272; sql/inquiry-pipeline-lineage/20260906; docs/operational-cutover-20260906/pipeline-lifecycle-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I11","견적문의","PC 휴지통","휴지통 이동","inquiry_trash","reason/note; client actor/time/purge/protection stripped","private inquiry audit current trash state + snapshot/receipt + scoped projection","19-op chained Dispatcher/read/UI candidate after hold; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:7818; sql/inquiry-trash-restore/20260906; docs/operational-cutover-20260906/inquiry-management-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I12","견적문의","PC 휴지통","복원","inquiry_restore","intent=restore; client actor/time stripped","private inquiry audit current restore state + receipt + scoped projection","same 19-op chained candidate; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:7819; sql/inquiry-trash-restore/20260906; docs/operational-cutover-20260906/inquiry-management-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I13","견적문의","PC 휴지통","관리자 수동 완전삭제","inquiry_purge","intent=purge; client actor/time stripped","inquiry + scope delete, FK cascade, private immutable audit/receipt","20-op chained Dispatcher/UI candidate after trash/restore; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS_IRREVERSIBLE","crm.html:7820; sql/inquiry-purge/20260906; docs/operational-cutover-20260906/inquiry-management-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I14","견적문의","PC 기술자문 검토","일반 견적문의로 재분류","inquiry_reclassify","to brand; client from/review actor/time stripped","inquiries.brand + private inquiry audit/receipt + scoped review projection","16-op chained Dispatcher/read/UI candidate after waiting context; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:7787; sql/inquiry-reclassify/20260906; docs/operational-cutover-20260906/inquiry-management-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I15","견적문의","PC 기술자문 검토","기술자문 영업기회로 이관","opportunity_create/technical_inquiry_transfer; inquiry_status child absorbed","inquiry id; server current technical classification/site/work/approved optional owner/status","one technical public.deals row + lineage + inquiry converted state + histories/private audits/receipt","23-op cumulative candidate last layer; admin-only atomic helper/overlay; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_DB_ADAPTER_UI_PASS","crm.html:7788; sql/technical-inquiry-transfer/20260906; docs/operational-cutover-20260906/technical-inquiry-transfer-resolution.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I16","견적문의","PC 상담담당","상담담당 지정·해제","inquiry_consultant","consultant,status,consulted_at,actor","inquiries consultation + history","current UI n8n; Staging eligibility source absent","YES","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","STAGING_JWT_READBACK_PASS","crm.html:7824; docs/operational-cutover-20260906/inquiry-management-contracts.md; docs/operational-cutover-20260906/staging-inquiry-consultant-preflight-20260906.json; docs/operational-cutover-20260906/staging-go-eight-jwt-results.json; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t225700z-90c0ffee/cleanup-verification-current.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I17","경남지사","PC 본사 문의","경남 미지정 Pool 인계","inquiry_assign/branch_handoff","branch/group/reporting + reason","inquiry routing/pool/history TBD","current UI n8n; strict Staging blocked","YES","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","STAGING_JWT_READBACK_PASS","crm.html:7809-7813; docs/operational-cutover-20260906/staging-go-eight-jwt-results.json; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t225700z-90c0ffee/cleanup-verification-current.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I18","경남지사","PC 경남 관리","지사 실담당 지정·미지정 복귀","inquiry_assign/branch_owner_assign","target/group/branch/reporting","inquiries assigned_to + branch history","current UI n8n; strict Staging blocked","YES","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","STAGING_JWT_READBACK_PASS","crm.html:5563,7813; docs/operational-cutover-20260906/staging-go-eight-jwt-results.json; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t225700z-90c0ffee/cleanup-verification-current.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"I19","견적문의","PC·모바일 문의 목록/상세","문의 표시·검색·배정이력 새로고침","","inquiry/site/contact/work/assignment/timestamps","crm_read_scoped_v2 inquiry projection","strict Staging scoped read; current UI read not yet switched","NO","CONFIRMED","STAGING_COMPAT_PASS_FROZEN","YES_SCOPE_FIELDS_HISTORY","crm.html:inqCtl*; mobile.html:inquiryViewM; sql/operational-bundle/20260906; docs/operational-cutover-20260906/operational-bundle-final.json","UI read 연결 후 회귀만 수행"
"P01","Pipeline","PC +영업·모바일 신규영업","신규 영업기회 생성","opportunity_create","direct surface,site/work/brand,reviewed owner UUID,amount,contact,reason,client_ref + mobile initial Activity/Next","sites/deals/contacts/assignment + surface-specific Activity/Next + scope/audit/receipt","23-op cumulative candidate; read-only Staging aggregate evidence; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:7171-7207; mobile.html:2106-2125; docs/operational-cutover-20260906/opportunity-create-resolution-20260906.json; sql/pipeline-opportunity-create/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P02","Pipeline","PC·모바일 Deal 상세","담당자 변경·인수인계","assign; handover","from,to,reason,summary","deals owner + assignment/history + server-generated handover audit","current UI n8n; actual Staging has no UUID team authority","YES","CONFIRMED","STAGING_JWT_E2E_PASS_20260906","STAGING_JWT_READBACK_PASS","crm.html:5264,7562; mobile.html:1529,2055,2401; people-eligibility.js; docs/operational-cutover-20260906/pipeline-owner-handover-resolution-20260906.md; docs/operational-cutover-20260906/staging-go-eight-jwt-results.json; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t225700z-90c0ffee/cleanup-verification-current.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P03","Pipeline","PC·모바일 구조화 단계전환","Stage 진행","transition","from,to,transition_date,fields,skip_reason,memo,note","Deal stage/context + stage_history + Activity + optional replacement Next + private event/audit/receipt","12-op chained Dispatcher/read/UI candidate after stage-check; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","stage-transition-ui.js:39-79; sql/20260905_structured_stage_transition.sql; sql/pipeline-transition/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P04","Pipeline","PC 구조화 종료·모바일 종료 폼","실주·배드핏·연락두절","close","from,outcome,closed_date,category,detail,reason_source,note","Deal outcome/lifecycle/context + completed open Next + stage history + Activity + private event/audit/receipt","13-op chained Dispatcher/read/UI candidate after transition; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","stage-transition-ui.js:50-74; mobile.html:1631-1654; sql/pipeline-close-nonwon/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P04W","Pipeline","PC·모바일 Closed Won","수주 종료","close; expansion_pool_upsert","completion evidence,won amount,completion date; child pool payload ignored","Deal closure + separate won monetary truth + private expansion Pool/event + history/activity/audit/receipt","local candidate after cumulative 25-op package; activity/pool child absorbed; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","stage-transition-ui.js:63-77; mobile.html:1664-1674; sql/pipeline-close-won/20260906; docs/operational-cutover-20260906/pipeline-lifecycle-contracts.md; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P05E","Pipeline","PC Deal 상세·문제함","예상금액 저장·초기화","amount","amount; quote_amount is latest-quote snapshot; won_amount must be null","deals.amount + Deal version + private receipt/audit","14-op chained Dispatcher/read/UI candidate after non-won close; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:4661-4671; issue-modal.js:59-65; sql/pipeline-amount-expected/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P05Q","Pipeline","PC Deal 상세","사유 없는 견적금액 직접 편집","amount","quote_amount without adjustment reason","append-only quote_versions is authoritative","31-op cutover boundary; supported quote_version path remains","NO","CONFIRMED","OUT_OF_SCOPE_31_OP_BOUNDARY","NO","crm.html:4651,4661-4671; sql/pipeline-quote-version/20260906","운영에서는 사유가 남는 견적 Version 저장 경로 사용; 직접 편집은 이번 전환 범위 밖"
"P05W","Pipeline","PC Deal 상세","수주 전 수주금액 직접 편집","amount","won_amount without closure evidence","Closed Won monetary truth","31-op cutover boundary; supported close/won path remains","NO","CONFIRMED","OUT_OF_SCOPE_31_OP_BOUNDARY","NO","crm.html:4651,4661-4671; stage-transition-ui.js:63-77","운영에서는 준공·수주 종료 경로 사용; 수주 전 직접 편집은 이번 전환 범위 밖"
"P06","Pipeline","PC·모바일 공종 편집","대표·복합 공종 저장","opportunity_work_set","primary/items/scope/summary/reason/version","deals work fields + activity/audit","strict Staging Supabase; current UI n8n","YES","CONFIRMED","STAGING_COMPAT_PASS_FROZEN","YES","crm.html:7148; mobile.html:1555","회귀만 수행"
"P07","Pipeline","PC·모바일 사업유형 편집","사업유형 변경","service_change","from/to service,origin,reason,next,at","deals business/history/activity/optional next + private receipt/audit","strict Staging Supabase; current UI n8n","YES","CONFIRMED","STAGING_COMPAT_PASS_FROZEN","YES_VERSION_HISTORY_ACTIVITY","crm.html:7120; mobile.html:1775; sql/operational-bundle/20260906; docs/operational-cutover-20260906/operational-bundle-final.json","UI Adapter correlation 후 회귀만 수행"
"P08","Pipeline","PC 상세·split·Today / 모바일 통화메모·연락시도","독립 활동 기록","activity","intent=standalone,type,note,result,occurred_at,meaningful_contact","activities + Deal activity/contact timestamps + private receipt/audit","8-op chained Dispatcher/UI candidate after T03; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:3528,4676,5230,6009; mobile.html:1403,1490-1508; sql/pipeline-action-bundle/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P08C","Pipeline","PC split 응대","의미있는 접촉 체크를 Activity에 통합","activity; contact","meaningful_contact boolean; legacy contact absorbed","single activity/contact evidence + KPI","UI overlay + action helper chain candidate after T03; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:6009-6010; sql/pipeline-action-bundle/20260906/operational-overlay.candidate.js; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P09","Next Action","PC Deal 상세·split 기본 입력","Next 생성·현재 open 교체","next_action","intent=standalone,type,text,due_at,assignee","next_actions + Deal summary + private receipt/audit","8-op chained Dispatcher/UI candidate after T03; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:4681,6020; sql/pipeline-action-bundle/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P09M","Next Action","모바일 Today Deal 통화결과","진행됨·다음주 다시·못 받으심","next_action_complete/today_outcome; activity child absorbed; next_action child absorbed","server Action UUID,outcome; client child/time/count stripped","completed current Action + outcome Activity + replacement Next + Deal-level durable postpone count + Deal version/contact + audit/receipt","local cumulative candidate wraps public Dispatcher; current UI n8n; not applied","YES","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","mobile.html:1396-1416; sql/mobile-today-outcome/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P09X","Next Action","PC·모바일 Today","현재 open Action 연기","next_action/postpone","server action_id,due_at; client postpone_count/type/text stripped","same next_actions row due + private append-only postpone event + non-meaningful Activity + Deal version/audit/receipt","local candidate after M04; existing external op/ACK retained; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:3551; mobile.html:2380-2381; sql/next-action-postpone/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P10","Next Action","PC·모바일 Today/할 일","Next 완료","next_action_complete","server action_id; legacy text/due/time stripped","next_actions completion + Deal summary + Activity + private receipt/audit","10-op chained Dispatcher/UI candidate after operational source; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:3548; mobile.html:781,2379; sql/pipeline-next-complete/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P11","Next Action","PC Deal 상세","현재 행동 완료","next_action_complete","server action_id; missing legacy write added by overlay","same transaction as P10","same 10-op chained candidate; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:4683; sql/pipeline-next-complete/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P12","Pipeline","PC 빠른관리 일괄 모달","단계·세부·담당·장기검토·Next 일괄변경","","bulk selection and values","LOCAL deal patches","31-op cutover boundary; local-only bulk helper excluded","NO","CONFIRMED","OUT_OF_SCOPE_31_OP_BOUNDARY","LOCAL_ONLY","crm.html:5685-5712","개별 담당·단계·Next 경로는 검증 완료; 다건 일괄 저장은 이번 전환 범위 밖"
"P13","Pipeline","PC DCC 대기고객","기존 대기 Deal의 근거·재접촉 저장","waiting_context; next_action","reason,speaker,statement,wake,evidence,resume; client actor/time stripped","stage_contexts.waiting + wake + replacement Next + Activity + private receipt/audit","15-op chained Dispatcher/read/UI candidate after expected amount; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:7879-7880; sql/pipeline-waiting-context/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P14","Pipeline","PC·모바일 견적","견적 Version 추가","quote_version","amount,reason; client version/actor/time ignored","private append-only quote_versions + Deal version + receipt/audit","9-op chained Dispatcher/UI candidate after action layer; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:7558; mobile.html:2398; sql/20260905_sales_execution_engine.sql; sql/pipeline-quote-version/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P15","Pipeline","PC·모바일 실행 체크","수동 체크리스트 토글","stage_check","stage_code,item_index,checked; client item_text stripped","deals.stage_checklist + Deal version + private receipt/audit","11-op chained Dispatcher/read/UI candidate after next completion; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","crm.html:7630; mobile.html:2460; sql/20260905_sales_execution_engine.sql; sql/pipeline-stage-check/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
"P16","Pipeline","수주 완료","확장관리 Pool 생성","expansion_pool_upsert","client child is absorbed; server derives source deal/site/work/won/completion/owner/next","private expansion pool + source Deal lineage + actor-scoped read","local close/won parent candidate; standalone child remains blocked; not applied","NO","DERIVED_SAFE","STAGING_JWT_E2E_PASS_20260906","LOCAL_CHAIN_DB_UI_PASS","stage-transition-ui.js terminal plan; mobile.html:1673; sql/pipeline-close-won/20260906; docs/operational-cutover-20260906/staging-fixture-runs/stg-e2e-20260906t125239z-fc70f2d2/mutation-proof.json","Staging 회귀만 수행; Production cutover 전 UI 배포 리허설 유지"
