id,name,read,write,location,v2,status,gap,test
"F11","담당자 배정→응대→경쟁→수주 흐름","담당자 Master + inquiries + stage events","필터/상세 이동","golden/crm.html:3645 repFlowData; golden/crm.html:3661 openRepFlowDrawer; golden/crm.html:3585 paintTowerReps","담당자 flow aggregate 없음","CONTRACT_MISSING","실제 Stage 이력 없으면 수집중, 경남 내부평가 제외 유지","본사6명·기간 경계·경쟁 진입·부족이력 미확정 표시"
"F12","견적문의 Control Center 탭/카드/필터","B.inquiries + trash/기술자문 분리 + LOCAL patches","탭/보기/선택/검색","golden/crm.html:7407 inqCtlPartition; golden/crm.html:7457 inqCtlRows; golden/crm.html:7483 inqCtlConsole; golden/crm.html:7464 inqCtlCounts","crm_inquiries_scoped_v2 초안 보류","CONTRACT_MISSING","활성/휴지통/기술자문/미배정/SLA/체크박스 전체 계약 부족","각 탭·건수·선택행·필터 조합·기술문의와 휴지통 활성집계 제외"
"F13","본사6명 단일·일괄 배정/재배정","sales_people inquiry_assignable + 업무부하","inquiry_assign (crm-write)","golden/crm.html:7498 inqCtlOpenAssign; golden/crm.html:7496 inqCtlRepStats; golden/crm.html:7504 inqCtlConfirmAssign","crm_assign/assignment_targets 초안 보류","CONTRACT_MISSING","6명 UUID Master·단일/일괄·부하점수·확인창을 보존해야 함; 현재 초안 target4명만","6명 목록/경남 제외·부하식·다건 실패·원 담당 이력"
"F14","문의 미배정 회수·보류·사유","문의 상태/배정/이력","inquiry_unassign / inquiry_status","golden/crm.html:7505 inqCtlOpenReason; golden/crm.html:7506 inqCtlConfirmReason","목적별 v2 회수/보류 RPC 없음","CONTRACT_MISSING","단순 status UPDATE로 배정/보류 이력 전체 의미 대체 불가","회수 뒤 담당NULL·미배정카드, 보류사유 필수·활성통계"
"F15","최초응대·후속응대·통화결과","문의 담당/응대시각/활동","activity / inquiry_assign / inquiry_status","golden/crm.html:6312 splitSaveLog; golden/crm.html:6210 splitSaveStatus; golden/mobile.html:1950 recordInquiryResponse","crm_inquiry_response/status 초안 보류","CONTRACT_MISSING","응대결과·최초시각 보존·상담자와 영업자 분리·실제 기존 status 목록 필요","두번 응대 최초시각 불변·PC모바일 동일·권한 분리"
"F16","문의 Next/기한/완료/연기","문의 nextAction + assigned owner","next_action / next_action_complete / inquiry_followup","golden/crm.html:6199 splitSaveNext; golden/crm.html:6576 splitDoneAction; golden/mobile.html:2379 applyTodayPostponeM","crm_next_add/complete 초안; 연기 미구현","CONTRACT_MISSING","문의 followup·연기사유/횟수·채널·일정 유형 보존 부족","문의/Deal ID 분리·완료와 단순열기 구분·연기후 날짜/이력"
"F17","문의→Pipeline 전환·금액·중복방지","origin_inquiry_id/client_ref/기존 연결 Deal","opportunity_create + inquiry_status/lineage_link","golden/crm.html:6447 promoteToPipeline; golden/crm.html:6255 autoPromote; golden/crm.html:2548 adoptServerId","원자적 inquiry-convert v2 없음","CONTRACT_MISSING","원문·상담담당·브랜드·공종·UUID 영업담당·전환시점/중복방지 필요","견적단계전환·원문의 보존·재시도 Deal1개·PC모바일 동일 링크"
"F18","문의 휴지통·활성 제외","deleted_at/reason/by/purge_at/연결보호","inquiry_trash","golden/crm.html:7507 inqCtlOpenTrash; golden/crm.html:7508 inqCtlConfirmTrash; golden/crm.html:7512 inqCtlTrash","v2 trash 없음","CONTRACT_MISSING","soft-delete 의미·30일 대상 표시·연결문의 보호 보존","집계제외/원문보존/사유/actor 서버확정"
"F19","문의 복원","휴지통 원본","inquiry_restore","golden/crm.html:7509 inqCtlRestore","v2 restore 없음","CONTRACT_MISSING","복원후 담당·상태·전환 관계 보존","복원후 활성·이력·범위 일치"
"F20","문의 영구삭제·보호","관리자·archive_protected·Deal link","inquiry_purge","golden/crm.html:7510 inqCtlHardDelete","v2 purge 없음; 기존 보안계획 MFA 필요","CONTRACT_MISSING","기능은 삭제하지 않되 admin+AAL2 승인/보호계약 필요; 이번엔 실행금지","합성 연결문의 삭제거부·AAL1거부·감사; 운영 삭제금지"
"F21","문의 중복 확인/연결/별도유지","문의 후보/duplicate relation","inquiry_duplicate 또는 inquiry_trash","golden/crm.html:7515 inqCtlOpenDuplicate; golden/crm.html:7516 inqCtlResolveDuplicate","v2 duplicate 없음","CONTRACT_MISSING","자동 병합 금지·원문 보존·같은 현장 다른기회 유지","link/keep/trash 각각·잘못된 ID·동시변경 거절"
"F22","경남지사 인계 Pool","본사 문의/sales_people team/reporting_group","inquiry_assign → 경남지사 미지정","golden/crm.html:7499 inqCtlOpenBranchHandoffConfirm; golden/crm.html:7500 inqCtlConfirmBranchHandoff","지사인계 v2 없음","CONTRACT_MISSING","현 v2 branch는 명시 ID scope뿐; 미지정 Pool과 routing authority 없음","본사6명 배정창과 분리·인계후 지사 미지정·상담이력 보존"
"F23","경남 실담당자 지정/미지정 복귀","branch Master 조민준/김훈/미지정","inquiry_assign / 담당 변경","golden/crm.html:5274 gnOpenOwner; golden/crm.html:5275 gnConfirmOwner; golden/crm.html:5276 gnSetOwnerPool","지사 owner assignment v2 없음","CONTRACT_MISSING","표시 이름은 보존, UUID·team 기반 지정 권한/Pool 필요","두 지사 담당 UUID만·본사정보차단·미지정 복귀"
"F24","경남 Funnel/인계표/위험/6개월추이","branch_code/team/reporting_group + inquiries/deals","필터/행 drilldown","golden/crm.html:5254 gnData; golden/crm.html:5264 gnTrend; golden/crm.html:5265 paintGyeongnam","branch scoped dashboard 없음","CONTRACT_MISSING","단일 generic 대시보드는 지사 UI/관리계약 대체 못함","인계→실배정→응대→Deal→경쟁→수주, 본사KPI 제외·회사실적 외부분리"
"F25","기술자문 문의 제외·기존자료 검토","brand 기술자문 구별; legacy_review_status","inquiry_reclassify","golden/crm.html:2316 operationalInquiries; golden/crm.html:7475 inqTechReview; golden/crm.html:7477 inqTechReclassify","v2 재분류/기술문의 scoped reader 없음","CONTRACT_MISSING","새 dashboard 초안에 기술문의 제외 규칙 없음","활성KPI 제외·전용탭에 원문유지·재분류 뒤 집계"
"F26","기술자문 Deal 생성/사업유형 전환","Deal service/brand/advisory/origin lineage","opportunity_create / service_change / inquiry_status","golden/crm.html:7478 inqTechPromote; golden/crm.html:6808 confirmBizChange; golden/crm.html:6919 advisoryPanel; golden/mobile.html:1772 commitBiz","v2 business-type/technical-convert 없음","CONTRACT_MISSING","기술자문은 Pipeline 사업유형; 상담브랜드로 임의전환 금지","기존유입보존·자문상세/금액·한번전환·타 사업 변경이력"
"F27","Pipeline Kanban/목록/분할/표/정렬","B.deals + Stage/amount/owner/risk/Next","필터/보기/선택 UI","golden/crm.html:4638 paintPipe; golden/crm.html:5600 paintKanban; golden/crm.html:5865 paintSplit; golden/crm.html:5393 paintStageListV2","crm_read_scoped_v2 부분 / deals reader 초안","CONTRACT_MISSING","기존 모든 보기·stage column·정렬·기간/브랜드·관리카드 필드 부족","모든 보기 동일 ID집합/금액·상세유지·역할별 비노출"
"F28","Pipeline 전체 Stage·Journey","STAGE_MASTER/PIPE_NO/PIPE_PROGRESS","transition / close / win","golden/crm.html:2231 nextStageCandidates; golden/crm.html:4664 stageJourneyHTML; golden/crm.html:4690 journeyStageClick; golden/mobile.html:716 nextOptions","crm_deal_stage_scoped_v2 초안 보류","CONTRACT_MISSING","Golden은 expansion Stage 존재; local은 제거+Pool. 둘을 자동합치지 말고 결정이력 필요","전 Stage 후보/순서/확률/SLA/종료분류 Golden과 비교"
"F29","단계별 입력·금액 Gate·복합변경","한 일/결과/담당/근거/Next/금액","transition + activity + next_action 또는 close/win","golden/crm.html:4479 confirmTransition; golden/crm.html:4444 transitionTargetChanged; golden/mobile.html:1619 commitMoveWithReason; golden/mobile.html:1700 commitMove","원자적 structured-transition RPC 없음","CONTRACT_MISSING","새 초안은 stage+reason만; 필수 입력·정본 history·연관변경 누락","sent 금액/수주금액 Gate·종료이전stage·권한/409·전체 transaction"
"F30","수주/실주/배드핏/연락두절·사유","outcome/closed_at/lost_kind/기존stage/won_amount","close / win","golden/crm.html:4463 reasonOptionsFor; golden/crm.html:3914 paintClosed; golden/mobile.html:1648 commitClose","terminal v2 계약 없음","CONTRACT_MISSING","뺏김/놓침/기타·견적/영업 배드핏·Closed 통계 보존","종료 전 단계 기록·Next 종료정책·매출/분류·원본보존"
"F31","예상/견적/수주 금액 수정","oppAmt/quoteAmt/wonAmt","amount","golden/crm.html:4388 saveBasics; golden/mobile.html:1666 amtOk","crm_deal_amount_scoped_v2 초안 보류","CONTRACT_MISSING","하나의 amount UPDATE로 세 금액 의미/원·만원 단위 유지 못함","공란/0/억/원·만원·반올림·필수금액·감사+동시수정"
"F32","Deal 담당자 변경·일괄 재배정","owner/담당자Master/이력/권한","assign + handover","golden/crm.html:4979 saveAssigneeChange; golden/crm.html:4635 applyBulkV2; golden/mobile.html:2399 pickReassign","crm_assign_scoped_v2 초안 보류","CONTRACT_MISSING","역할/team eligibility·다건·인수인계와 별도할당권한 필요","UUID이관·원담당비노출·동일site 타기회불변·관리scope"
"F33","공종 구조화 편집·복합·기타","primaryWork/workItems/workScopeType/workSummary","opportunity_work_set","golden/crm.html:2365 workItemsOf; golden/crm.html:6847 saveWorkEdit; golden/mobile.html:1556 saveWorkSheetM","crm_work_set_scoped_v2(uuid,text,jsonb,text,integer,text)","V2_IMPLEMENTED_NOT_UI_CONNECTED","기존 work editor와 미연결; actor 없는 새5인자 초안 미적용. 기존 multi/primary/기타 정본 보존","단일/복합/기타/대표필수·기존미분류 보존·version conflict"
"F34","신규 영업기회·유입·사업유형/공종","사이트/연락처/사업유형/공종/담당자","opportunity_create","golden/crm.html:6852 openNewDeal; golden/crm.html:6873 saveNewDeal; golden/mobile.html:2112 addProspect","create v2 없음","CONTRACT_MISSING","Site1:N·임시ID→서버UUID·origin/문의link·중복안내 부족","동일 Site의 다른공사·연도 새Deal·이중submit·기존Deal 불변"
"F35","Deal Next 등록·기한·담당","nextActionObj/type/text/due/owner","next_action","golden/crm.html:4406 saveNextAction; golden/mobile.html:778 setNextAction; golden/mobile.html:1599 nextSheet","crm_next_add_scoped_v2 초안 보류","CONTRACT_MISSING","현재 초안4유형만; 기존 상세유형/담당/추천/기간과 다름","기존유형 전수·빈기한·타담당·UTC/KST 경계·기존 예약 유지"
"F36","Next 완료·연기·반복연기 위험","action ID/status/due/postpone history","next_action_complete / next_action","golden/crm.html:4409 completeNextAction; golden/crm.html:3393 todoDelay; golden/crm.html:2432 bumpPostpone; golden/mobile.html:2377 todayCompleteM; golden/mobile.html:2378 todayPostponeM","complete 초안; postpone 없음","CONTRACT_MISSING","반복연기 횟수·근거·완료activity·다음추천 유지","완료후재조회·두번완료·연기사유/날짜/관리카드·lost응답"
"F37","활동·음성근거·실접촉/시스템갱신 구별","activities/timeline + meaningful contact","activity / relationship_response","golden/crm.html:4401 addDetailActivity; golden/crm.html:7212 logActivity; golden/crm.html:6756 reasonRec; golden/mobile.html:1798 voiceMemo; golden/mobile.html:1510 saveCallMemoM","crm_activity_add_scoped_v2 초안 보류","CONTRACT_MISSING","새private business_events만 쓰면 기존 activities 소비자가 못 읽음; 실제접촉 판정/음성 source 부족","전화시도≠양방향접촉·음성미지원fallback·내용/결과/actor서버확정"
"F38","활동/단계/배정 통합 Timeline","activity/stage/assignment/inquiry lineage 이력","조회·필터/더보기","golden/crm.html:4763 unifiedTimeline; golden/crm.html:4822 activityTimeline; golden/crm.html:4260 stageHistoryHTML; golden/mobile.html:1518 historySheetM","history scoped reader 없음","CONTRACT_MISSING","최근30행 generic feed로 전체 Timeline 대체 불가","종류별필터·시간정렬·서버재접속·타Opportunity 이력차단"
"F39","Deal Command Center·고객문제/다음행동","waiting_reason/recontact/입대의일정·최근접촉·이슈","waiting_context + activity/next_action","golden/crm.html:7607 dccDecorateDetail; golden/crm.html:7545 dccRecommendations; golden/crm.html:7554 dccAction; golden/crm.html:7568 dccSaveWaitingContext","v2 command-center projection/context 없음","CONTRACT_MISSING","핵심상세 탭/카드·입력·위험해소 근거 보존","무활동/Next없음/기한초과 카드→기존동작·저장후실제해소만"
"F40","연락처 Opportunity별 조회","contacts/contact_assignments/person history","조회 전용","golden/crm.html:4274 siteContacts; golden/crm.html:4275 contactDirectoryHTML; golden/mobile.html:1477 siteContactsM","crm_contacts_scoped_v2(uuid) 부분 구현","CONTRACT_MISSING","RPC는 Deal 단일contact만 반환; 여러 연락처/직함/동의/history 필드는 추가 필요; 범위 내 부분 구현","같은 Site 다른기회 연락처 혼입0·다중연락처 목록/대표·권한"
"F41","연락처 등록/수정·관리자 이동","contacts/people/contact_assignment","contact_upsert / contact / contact_move","golden/crm.html:4321 saveQuickContact; golden/crm.html:4301 saveContactInfo; golden/crm.html:4341 saveManagerMove; golden/mobile.html:1508 saveContactM","contact-write v2 없음","CONTRACT_MISSING","직함/대표번호/개인휴대폰·재직기간·이동이력·동의 범위 보존","이름같음 자동병합금지·이동시 양쪽현장/history·UUID+권한"
"F42","전화·번호복사·카카오 외부앱","선택 연락처/mobile/officeTel","tel/sms/kakao URI / clipboard; CRM activity는 별도","golden/crm.html:4331 contactDial; golden/crm.html:4935 briefCall; golden/crm.html:7219 contactKakao; golden/mobile.html:1504 callContactM","scoped contacts + 기존 UI bridge","CONTRACT_MISSING","외부앱열기와 발송/통화성공 분리·선택연락처 유지","빈번호차단·호출 URI·앱복귀결과확인·단순열기로 성공기록0"
"F43","관계관리 문구추천·개별 문자/카카오","stage/contact/work/Next/lastMeaningful/lastOutbound","외부 앱 / clipboard + message_log","golden/crm.html:7164 relationshipTemplates; golden/crm.html:7200 openRelationshipMessage; golden/mobile.html:2331 messageSheetM","messaging scoped read/write 없음","CONTRACT_MISSING","추천2~3개/내용편집/초안·실제발송확인·후속Next 유지","단계/계절/견적템플릿·개별Deal맥락·copy≠sent"
"F44","수신동의/거부·시간대·빈도·피로도","consent/optout/messageLogs/personKey+phone/recent30","contact_upsert + consent SQL; message_log","golden/crm.html:7184 relationshipGuard; golden/crm.html:7342 relV8Stats; golden/mobile.html:2323 rmGuardM","서버 consent/dispatch guard 없음","CONTRACT_MISSING","클라이언트검사만 복제불가; 기존 안전규칙 동일하게 서버확정","동의없음/거부/시간외/3무응답/30일3회/optout번호없음 차단"
"F45","메시지 로그·실발송 확인·성과","message_logs/response/stage_advanced","message_log / relationship_response / message_stage_advanced","golden/crm.html:7213 relationshipConfirm; golden/crm.html:7366 relV8MetricsHTML; golden/mobile.html:2336 rmConfirmM","v2 message audit 계약 없음","CONTRACT_MISSING","발송→응답→Next→Stage연결·실패/보류/자유작성등급·actorUUID 필요","로그/활동/후속Next 일관성·실패시sent금지·반복확인 멱등"
"F46","관계온도·잠든고객·접촉보류","meaningful/outbound/attempts/hold/wake/score","relationship_hold + next_action","golden/crm.html:7348 relV8Insight; golden/crm.html:7365 relV8Hold; golden/mobile.html:2369 reactivationM","relationship scoped aggregate/mutation 없음","CONTRACT_MISSING","HOT/WARM/COOL/DORMANT·NextBestAction·holduntil 동일 계산","회신으로 무응답리셋·장기보류 제외·실주후재활성·실접촉주기"
"F47","단계 체크리스트 자동/수동","stage + contacts/work/quote/Next/attachments/activities","stage_check","golden/crm.html:7317 execGuideAuto; golden/crm.html:7320 toggleExecGuide; golden/mobile.html:2455 stageGuideAutoM; golden/mobile.html:2458 toggleStageGuideM","checklist v2 없음","CONTRACT_MISSING","자동항목 직접체크금지·필수미완료는경고·stage별정본 보존","전stage자동조건·수동toggle·기존항목index·두기기동기화"
"F48","고객 관계도·의사결정 역할","여러 연락처 decision_role/relationship_status","contact_relationship","golden/crm.html:7244 execRelationPanel; golden/mobile.html:2391 relationshipEditSheetM; golden/mobile.html:2392 saveRelationshipM","relationship-map v2 없음","CONTRACT_MISSING","contact 한명 축약금지·Deal/Contact 조합 권한 필요","의사결정자/영향자/관계상태·동일사람다른현장 분리"
"F49","견적 Version·조정사유·계약비교","quote_versions/current_quote/won_amount","quote_version","golden/crm.html:7246 execQuotePanel; golden/crm.html:7248 saveExecQuoteVersion; golden/mobile.html:2396 saveQuoteVersionM","quote-version v2 없음","CONTRACT_MISSING","V1/V2/V3 append-only·발송시각·최종계약차액 보존","동시추가versionunique·과거불변·빈사유·권한·PC모바일"
"F50","담당자 인수인계 요약/이력","현재stage/금액/핵심고객/최근활동/Next","assign + handover","golden/crm.html:7249 execHandoverSummary; golden/crm.html:7250 execHandoverPanel; golden/mobile.html:2399 pickReassign","assignment 초안에 handover 원자성 없음","CONTRACT_MISSING","자동요약·이전/이후 담당·사유·조회권한 이관 필요","재배정1번=인계기록1개·기존증거보존·실패시둘다rollback"
"F51","첨부자료 준비/업로드/완료/실패","attachment metadata / selected files","attachment_prepare → signed upload PUT → attachment_complete","golden/crm.html:7290 uploadExecAttachment; golden/crm.html:7291 saveExecAttachments; golden/mobile.html:2423 uploadAttachmentM","v2 Storage 계약 없음; 이번 단계 미실행","CONTRACT_MISSING","20MB/분류/태그·privatebucket·사전권한/완료검증·부분실패필요","타ID/path변조거절·파일존재·실패정리·메타데이터만브라우저"
"F52","사진 Gallery·파일다운로드","attachments/signed download URL","signed URL 발급 후 다운로드","golden/crm.html:7280 execAttachPanel; golden/crm.html:7281 toggleExecAttachmentGallery; golden/mobile.html:2425 openAttachmentGalleryM","v2 metadata/download authorization 없음","CONTRACT_MISSING","gallery/원본/메모/태그·만료갱신·scope 필요; 공개URL 금지","다른기회 파일0·만료URL재발급·20MB/사진표시·PC모바일"
"F53","즐겨찾기·최근 본/작업 현장","user_opportunity_states + favorite/last_viewed/worked","favorite_set / opportunity_touch","golden/crm.html:7294 execTouch; golden/crm.html:7295 toggleExecFavorite; golden/mobile.html:2431 quickSitesHTMLM","AuthUID 기반 user-state v2 없음","CONTRACT_MISSING","client user_key 신뢰제거하면서 빠른현장 기능 유지","임의 user_key 거절·계정격리·PC모바일공유·타site혼입0"
"F54","CRM에게 물어보기·조건검색","loaded deals/contact/activity/Next에 조건검색","조회 전용","golden/crm.html:7326 execAskQuery; golden/crm.html:7328 runExecAsk; golden/mobile.html:2464 crmAskM; golden/mobile.html:1921 rSearch","scoped search/필수 read fields 없음","CONTRACT_MISSING","자연어조건/20행·7행표시/검색조건 설명 유지·전체번들fallback 금지","오늘전화/1억Next없음/이번주방문/미접촉/연락처누락/기술자문"
"F55","고객 자산 Site1:N·관계 Timeline","Site + linked deals/inquiries/contacts/history","상세 이동; 신규기회 생성은 별도","golden/crm.html:4169 siteMasterData; golden/crm.html:4176 siteTimeline; golden/crm.html:4182 openSiteMaster","Site projection v2 없음","CONTRACT_MISSING","같은아파트 다른공사/연도/사업별Opportunity·미허용자식 제외","Site한개에A/B기회·허용기회만·수주/공종장부/연락처이동"
"F56","중복현장 비교·연결 검토","B.dups / orgs/deals","기존 UI 비교·제안/lineage_link 경로 별도검증","golden/crm.html:4189 renderDups; golden/mobile.html:2228 rDups; golden/mobile.html:2132 dupSheet","v2 duplicate-site reader/resolution 없음","CONTRACT_MISSING","Golden의 병합전상태와 로컬 데이터정리센터는 별개 구현","원본ID/이력/매출유지·같은site다른deal 자동병합0"
"F57","공종 분석·대표공종/조합 drilldown","workItems/primaryWork + 금액/사업유형/기간","필터/정렬/행 이동","golden/crm.html:4139 workAnalysisData; golden/crm.html:4149 paintWorkAnalysis; golden/crm.html:4147 workAnalysisDrill","work analytics v2 없음","CONTRACT_MISSING","복합공종 합계 중복계수/대표 기준·미분류 항목 유지","대표합계·복합조합·필터/금액/드릴다운원본 일치"
"F58","담당자 실적/KPI/목표/근거","본사 담당 Master+deal/inquiry/activities/stagehistory","조회/필터/근거Drawer","golden/crm.html:5125 performanceStats; golden/crm.html:5138 perfKpiGroups; golden/crm.html:5162 showPerfEvidence; golden/mobile.html:2267 rPerf","KPI scoped contract 없음","CONTRACT_MISSING","정본분모/목표/가중/수집중·branch제외·상담≠영업을 그대로","동일fixture로점수/수주/미래/위험/누락일치·partial전체표시금지"
"F59","관리카드·SLA·무활동·Next없음","실제활동일/시스템갱신일/기한/필수항목","드릴다운·별도 활동/Next/상태 Action","golden/crm.html:5075 managementStats; golden/crm.html:5061 issueSet; golden/crm.html:5095 paintMgmt; golden/mobile.html:2021 rHyg","management projection v2 없음","CONTRACT_MISSING","활동을 추가했다는 이유만으로이슈자동해결 금지·수주임박카드 유지","미응대/3시간/90일/단계SLA/금액누락/무활동/Next 0 각각"
"F60","대표보고·기간실적·의사결정","실적/미래가능성/리스크/외부채널+기간","조회/필터/원본 drilldown","golden/crm.html:5312 paintReportV2; golden/crm.html:5284 reportPeriodDeals; golden/crm.html:5220 briefDecisionRows; golden/mobile.html:2272 rRpt","executive report v2 없음","CONTRACT_MISSING","경남은회사전체포함/담당자외부분리·미확정숫자표시 필요","금액시점/수주수/고위험/대표결정 카드와원본일치"
"F61","주간/월간 브리핑·잔디연동 표기","주간 stage history/지난주진행/이번주Next","UI 조회; README/화면 자동잔디 표기, 서버워크플로 미확보","golden/crm.html:5233 paintBriefV2; golden/crm.html:4120 paintBriefMonth; golden/mobile.html:2210 rBrief; golden/mobile.html:2220 rMonthly","brief aggregate + 외부자동화계약 없음","CONTRACT_MISSING","UI 자동생성 문구만으로 실제스케줄/발송 구현 확정 불가","월요일경계·이력부족·담당필터; 외부발송은별도스테이징승인"
"F62","모바일 오늘 그룹·우선순위","myDeals/myInquiries→new/overdue/visit/today 우선순위","조회·상세로 이동","golden/mobile.html:2348 buildToday; golden/mobile.html:2375 rToday; golden/mobile.html:2367 execTaskRowM","crm_today_scoped_v2 초안 보류","CONTRACT_MISSING","초안tasks due bucket만; 신규배정/이번주방문/Next없음/정체규칙 누락","new/overdue/visit/today 각 fixture·정렬60한도·문의Deal 분리"
"F63","모바일 오늘 전화/완료/연기","오늘row→정확한Inquiry/Deal","tel + activity/next_action_complete/inquiry_followup","golden/mobile.html:1405 startTodayCall; golden/mobile.html:1406 resumeTodayCall; golden/mobile.html:2377 todayCompleteM; golden/mobile.html:2379 applyTodayPostponeM","업무원자 RPC+기존 Sheet 미연결","CONTRACT_MISSING","앱복귀 통화결과·완료라벨·연기일수·맞는 parent version 유지","통화취소/복귀/번호없음·문의응대vsDeal완료·연기다음날"
