id,feature,existing_function,read,write,location,v2,status,required,regression,source
"C00011","UNRESOLVED_CONTROL","(top-level/template): div","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1781","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""mi clk"" data-p=""dup"" onclick=""nav(this)"">"
"C00012","UNRESOLVED_CONTROL","(top-level/template): input","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1788","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<input id=""q"" placeholder=""현장·담당자 검색"" oninput=""G.q=this.value.trim();paint()"">"
"C00013","UNRESOLVED_CONTROL","(top-level/template): JSON","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1794","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""rf clk"" onclick=""exportFullDataJSON()"" title=""전체 CRM 데이터 JSON 내보내기"" style=""width:auto;padding:0 10px;background:#fff;border:1px solid var(--line2);color:var(--blue);font-size:12px;font-weight:900"">"
"C00014","UNRESOLVED_CONTROL","(top-level/template): 🔍","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1794","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""rf clk"" onclick=""runDiag()"" title=""연결 점검 — 데이터가 안 뜰 때 원인 확인"" style=""background:#fff;border:1px solid var(--line2);color:var(--ink2);margin-right:-4px"">"
"C00015","UNRESOLVED_CONTROL","(top-level/template): ↻","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1794","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""rf clk"" onclick=""loadData()"" title=""새로고침"">"
"C00016","UNRESOLVED_CONTROL","(top-level/template): 
    ","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1804","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<form onsubmit=""authSignIn();return false"">"
"C00017","UNRESOLVED_CONTROL","(top-level/template): input","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1806","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<input id=""au-name"" autocomplete=""username"" placeholder=""예: 황윤선"">"
"C00018","UNRESOLVED_CONTROL","(top-level/template): input","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1808","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<input id=""au-pw"" type=""password"" inputmode=""numeric"" autocomplete=""current-password"" placeholder=""본인 핸드폰 번호"">"
"C00019","UNRESOLVED_CONTROL","(top-level/template): 로그인","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1809","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""abtn"" id=""au-btn"" type=""submit"">"
"C00020","UNRESOLVED_CONTROL","(top-level/template): 
      ","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1814","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""gbtn"" onclick=""authGoogle()"">"
"C00021","UNRESOLVED_CONTROL","(top-level/template): 📱 모바일","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1879","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button id=""mv-app"" class=""on"" onclick=""setMobPanel(false)"">"
"C00022","UNRESOLVED_CONTROL","(top-level/template): 📋 관리 항목 · SLA 표","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1880","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button id=""mv-panel"" onclick=""setMobPanel(true)"">"
"C00023","UNRESOLVED_CONTROL","(top-level/template): div","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1922","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div id=""ovl"" onclick=""closeDrw()"">"
"C00024","UNRESOLVED_CONTROL","(top-level/template): ✕","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1924","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""x"" onclick=""closeDrw()"">"
"C00025","UNRESOLVED_CONTROL","(top-level/template): ← 목록으로","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1928","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""backbtn"" onclick=""closeDetail()"">"
"C00026","UNRESOLVED_CONTROL","(top-level/template): 
  ","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1931","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""modalshade"" id=""transitionModal"" aria-hidden=""true"" onclick=""if(event.target===this)closeTransition()"">"
"C00027","UNRESOLVED_CONTROL","(top-level/template): ✕","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1933","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""modalclose"" onclick=""closeTransition()"">"
"C00028","UNRESOLVED_CONTROL","(top-level/template): 
  ","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1937","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""modalshade"" id=""bulkModal"" aria-hidden=""true"" onclick=""if(event.target===this)closeBulkDialog()"">"
"C00029","UNRESOLVED_CONTROL","(top-level/template): ✕","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1939","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""modalclose"" onclick=""closeBulkDialog()"">"
"C00030","UNRESOLVED_CONTROL","(top-level/template): 
  ","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1943","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""modalshade"" id=""quickContactModal"" aria-hidden=""true"" onclick=""if(event.target===this)closeQuickContact()"">"
"C00031","UNRESOLVED_CONTROL","(top-level/template): ✕","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1945","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""modalclose"" onclick=""closeQuickContact()"" aria-label=""닫기"">"
"C00032","UNRESOLVED_CONTROL","(top-level/template): 
  ","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1949","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""modalshade"" id=""kakaoModal"" aria-hidden=""true"" onclick=""if(event.target===this)closeKakaoModal()"">"
"C00033","UNRESOLVED_CONTROL","(top-level/template): ✕","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1951","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""modalclose"" onclick=""closeKakaoModal()"" aria-label=""닫기"">"
"C00034","UNRESOLVED_CONTROL","(top-level/template): 
  ","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1955","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""modalshade"" id=""splitEditModal"" aria-hidden=""true"" onclick=""if(event.target===this)splitForm(null)"">"
"C00035","UNRESOLVED_CONTROL","(top-level/template): ✕","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1957","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""modalclose"" onclick=""splitForm(null)"" aria-label=""닫기"">"
"C00036","UNRESOLVED_CONTROL","(top-level/template): 
  ","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1961","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""modalshade"" id=""newDealModal"" aria-hidden=""true"" onclick=""if(event.target===this)closeNewDeal()"">"
"C00037","UNRESOLVED_CONTROL","(top-level/template): ✕","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1963","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""modalclose"" onclick=""closeNewDeal()"" aria-label=""닫기"">"
"C00038","UNRESOLVED_CONTROL","(top-level/template): 
  ","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1967","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""modalshade perf-drawer"" id=""perfDrawer"" aria-hidden=""true"" onclick=""if(event.target===this)closePerfDrawer()"">"
"C00039","UNRESOLVED_CONTROL","(top-level/template): ✕","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1969","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""modalclose"" onclick=""closePerfDrawer()"" aria-label=""닫기"">"
"C00040","UNRESOLVED_CONTROL","(top-level/template): 
  ","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1973","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""modalshade report-drill"" id=""reportDrill"" aria-hidden=""true"" onclick=""if(event.target===this)closeReportDrill()"">"
"C00041","UNRESOLVED_CONTROL","(top-level/template): ✕","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1975","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""modalclose"" onclick=""closeReportDrill()"" aria-label=""닫기"">"
"C00042","UNRESOLVED_CONTROL","(top-level/template): 
  ","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1979","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""modalshade site-drawer"" id=""siteDrawer"" aria-hidden=""true"" onclick=""if(event.target===this)closeSiteDrawer()"">"
"C00043","UNRESOLVED_CONTROL","(top-level/template): ✕","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1981","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""modalclose"" onclick=""closeSiteDrawer()"" aria-label=""닫기"">"
"C00044","UNRESOLVED_CONTROL","(top-level/template): 
  ","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1985","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<div class=""modalshade"" id=""inquiryControlModal"" aria-hidden=""true"" onclick=""if(event.target===this)closeInquiryControlModal()"">"
"C00045","UNRESOLVED_CONTROL","(top-level/template): ✕","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:1987","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<button class=""modalclose"" onclick=""closeInquiryControlModal()"" aria-label=""닫기"">"
"C00046","UNRESOLVED_CONTROL","authBadge: 로그아웃","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:2096","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<span class=""out"" onclick=""authSignOut()"">"
"C00047","F05","runDiag: ↻ 다시 불러오기","n8n crm-api → B / DEALS / ADMIN; cache fallback","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:2697","Phase1.read(resource,args): complete/partial/unavailable envelope; target work_items reader","CONTRACT_MISSING","Phase1 공통 contract 준비. 전체 B bundle을 만들지 않음. 업무별 reader/전체필드/자동동기화/진단은 후속 Phase 대상이며 아직 unavailable.","동일 UUID PC→모바일 재조회·오류/빈 응답·변경 중 재조회·Legacy 호출0","<button onclick=""loadData()"">"
"C00048","F05","runDiag: 📋 결과 복사","n8n crm-api → B / DEALS / ADMIN; cache fallback","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:2697","Phase1.read(resource,args): complete/partial/unavailable envelope; target work_items reader","CONTRACT_MISSING","Phase1 공통 contract 준비. 전체 B bundle을 만들지 않음. 업무별 reader/전체필드/자동동기화/진단은 후속 Phase 대상이며 아직 unavailable.","동일 UUID PC→모바일 재조회·오류/빈 응답·변경 중 재조회·Legacy 호출0","<button onclick=""copyDiag()"">"
"C00049","F05","runDiag: 닫기","n8n crm-api → B / DEALS / ADMIN; cache fallback","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:2697","Phase1.read(resource,args): complete/partial/unavailable envelope; target work_items reader","CONTRACT_MISSING","Phase1 공통 contract 준비. 전체 B bundle을 만들지 않음. 업무별 reader/전체필드/자동동기화/진단은 후속 Phase 대상이며 아직 unavailable.","동일 UUID PC→모바일 재조회·오류/빈 응답·변경 중 재조회·Legacy 호출0","<button onclick=""document.getElementById(\'err\').style.display=\'none\'"">"
"C00050","F05","loadData: 🔍 연결 점검","n8n crm-api → B / DEALS / ADMIN; cache fallback","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:2776","Phase1.read(resource,args): complete/partial/unavailable envelope; target work_items reader","CONTRACT_MISSING","Phase1 공통 contract 준비. 전체 B bundle을 만들지 않음. 업무별 reader/전체필드/자동동기화/진단은 후속 Phase 대상이며 아직 unavailable.","동일 UUID PC→모바일 재조회·오류/빈 응답·변경 중 재조회·Legacy 호출0","<button class=""errbtn"" onclick=""runDiag()"">"
"C00051","F05","loadData: 🔍 연결 점검","n8n crm-api → B / DEALS / ADMIN; cache fallback","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:2779","Phase1.read(resource,args): complete/partial/unavailable envelope; target work_items reader","CONTRACT_MISSING","Phase1 공통 contract 준비. 전체 B bundle을 만들지 않음. 업무별 reader/전체필드/자동동기화/진단은 후속 Phase 대상이며 아직 unavailable.","동일 UUID PC→모바일 재조회·오류/빈 응답·변경 중 재조회·Legacy 호출0","<button class=""errbtn"" onclick=""runDiag()"">"
"C00052","UNRESOLVED_CONTROL","cnt: '+y+'","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:2822","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<span class=""yr clk '+(G.year===y?'on':'')+'"" onclick=""G.year=\''+y+'\';G.quarter=0;paint()"">"
"C00053","UNRESOLVED_CONTROL","cnt: '+q+'분기","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:2824","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<span class=""qbt clk '+(G.quarter===q?'on':'')+'"" onclick=""G.quarter=(G.quarter==='+q+'?0:'+q+');if(G.year===\'전체\')G.year=CUR_Y;paint()"">"
"C00054","UNRESOLVED_CONTROL","cnt: 연간","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:2825","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<span class=""qbt clk '+(!G.quarter&&G.year!=='전체'?'on':'')+'"" onclick=""G.quarter=0;paint()"">"
"C00055","UNRESOLVED_CONTROL","cnt: '+workFilterOptions(G.workFilter)+'","페이지 데이터/상태 경로: 정확한 runtime reachability 미확인","직접 literal write 발견 없음; 간접 호출은 미확인","golden/crm.html:2826","미확정: 원본 handler/template 추적 필요","TEST_MISSING","중복정의·동적 template·상위함수 호출을 실제 렌더 결과와 연결","해당 원본 컨트롤의 노출 조건·클릭/필터/취소 결과를 Golden fixture로 검증","<select id=""global-work-filter"" onchange=""G.workFilter=this.value;G.splitKey=null;paint()"">"
