operation,features,read,write,locations,v2,status,gap,test
"crm_expansion_context","L09","expansion_quote_dispatches/currentPool/신규견적","Supabase RPC crm_expansion_context","local/expansion-pool.js:25 refresh","실발송검증+원자convert v2 없음","CONTRACT_MISSING","로컬README도서버분기없다고명시; 일반opportunity_create로대체금지","provider신규견적증거·idempotency expansion:source·child sent/origin·기존Deal불변"
"crm_expansion_note","L08","expansion_pool/source ClosedWon/completion","Supabase RPC crm_expansion_note","local/expansion-pool.js:21 note","expansion scoped contract 없음","CONTRACT_MISSING","Golden expansion Stage와상충; 로컬Pool제거금지·준공근거/30일추천보존","과거Deal재오픈0·완료원본유지·상태이력/니즈·원담당"
"crm_export_create","F67","B/LOCAL/WRITE_Q 또는 mobile state","Supabase RPC crm_export_create","local/crm-export.js:16 request","전체 export admin+MFA audit 서버계약 미완료","CONTRACT_MISSING","보안요건상 기존 무제한다운로드를 그대로 복제할수없음; 기능삭제 대신 범위/권한변경 명시승인 필요","일반계정거절·admin AAL1거절·audit/컬럼범위/횟수; 이번발급금지"
"customer_support_action","L04","고객관계/미응대/보류/지원요청","pushWrite/direct POST → n8n crm-write op=customer_support_action","local/crm.html:3866 repSupportRecord","support-action v2 없음","CONTRACT_MISSING","요청과 실제완료의 근거를분리·위임후실행정본 필요","요청만으로완료0·실제통화/Next/입대의일정으로완료"
"expansion_pool_update","L08","expansion_pool/source ClosedWon/completion","pushWrite/direct POST → n8n crm-write op=expansion_pool_update","local/crm.html:4449 expansionSave","expansion scoped contract 없음","CONTRACT_MISSING","Golden expansion Stage와상충; 로컬Pool제거금지·준공근거/30일추천보존","과거Deal재오픈0·완료원본유지·상태이력/니즈·원담당"
"expansion_pool_upsert","L08","expansion_pool/source ClosedWon/completion","pushWrite/direct POST → n8n crm-write op=expansion_pool_upsert","local/crm.html:4447 ensureExpansionRecord; local/mobile.html:1673 amtOk; local/stage-transition-ui.js:77 save","expansion scoped contract 없음","CONTRACT_MISSING","Golden expansion Stage와상충; 로컬Pool제거금지·준공근거/30일추천보존","과거Deal재오픈0·완료원본유지·상태이력/니즈·원담당"
"favorite_set","F53","user_opportunity_states + favorite/last_viewed/worked","pushWrite/direct POST → n8n crm-write op=favorite_set","golden/crm.html:7295 toggleExecFavorite; golden/mobile.html:2430 toggleFavoriteM; local/crm.html:7604 toggleExecFavorite; local/mobile.html:2432 toggleFavoriteM","AuthUID 기반 user-state v2 없음","CONTRACT_MISSING","client user_key 신뢰제거하면서 빠른현장 기능 유지","임의 user_key 거절·계정격리·PC모바일공유·타site혼입0"
"handover","F50","현재stage/금액/핵심고객/최근활동/Next","pushWrite/direct POST → n8n crm-write op=handover","golden/crm.html:7252 execHandoverPanel; golden/mobile.html:2399 pickReassign; local/crm.html:7561 execHandoverPanel; local/mobile.html:2401 pickReassign","assignment 초안에 handover 원자성 없음","CONTRACT_MISSING","자동요약·이전/이후 담당·사유·조회권한 이관 필요","재배정1번=인계기록1개·기존증거보존·실패시둘다rollback"
"inquiry_assign","F13 F15 F22 F23","sales_people inquiry_assignable + 업무부하","pushWrite/direct POST → n8n crm-write op=inquiry_assign","golden/crm.html:3997 assignTo; golden/crm.html:7503 inqCtlRecordAssignment; golden/mobile.html:1413 pickToday; golden/mobile.html:1950 recordInquiryResponse; golden/mobile.html:1960 pickAssign; local/crm.html:4254 assignTo; local/crm.html:7812 inqCtlRecordAssignment; local/mobile.html:1411 pickToday; local/mobile.html:1943 recordInquiryResponse; local/mobile.html:1954 pickAssign","crm_assign/assignment_targets 초안 보류","CONTRACT_MISSING","6명 UUID Master·단일/일괄·부하점수·확인창을 보존해야 함; 현재 초안 target4명만","6명 목록/경남 제외·부하식·다건 실패·원 담당 이력"
"inquiry_consultant","L13","sales_people/users role/team + consultant vs salesowner","pushWrite/direct POST → n8n crm-write op=inquiry_consultant","local/crm.html:7823 inqCtlSetConsultant","UUID permission + eligibility 승인계약 없음","CONTRACT_MISSING","표시이름을UUID권한으로대체하되 담당자분류/선택 UX 유지","상담담당≠영업담당·본사6/지사/관리/비활성·승인만료"
"inquiry_duplicate","F21","문의 후보/duplicate relation","pushWrite/direct POST → n8n crm-write op=inquiry_duplicate","golden/crm.html:7516 inqCtlResolveDuplicate; golden/crm.html:7516 inqCtlResolveDuplicate; local/crm.html:7827 inqCtlResolveDuplicate; local/crm.html:7827 inqCtlResolveDuplicate","v2 duplicate 없음","CONTRACT_MISSING","자동 병합 금지·원문 보존·같은 현장 다른기회 유지","link/keep/trash 각각·잘못된 ID·동시변경 거절"
"inquiry_followup","F16 F36","문의 nextAction + assigned owner","pushWrite/direct POST → n8n crm-write op=inquiry_followup","golden/mobile.html:2379 applyTodayPostponeM; local/mobile.html:2381 applyTodayPostponeM","crm_next_add/complete 초안; 연기 미구현","CONTRACT_MISSING","문의 followup·연기사유/횟수·채널·일정 유형 보존 부족","문의/Deal ID 분리·완료와 단순열기 구분·연기후 날짜/이력"
"inquiry_purge","F20","관리자·archive_protected·Deal link","pushWrite/direct POST → n8n crm-write op=inquiry_purge","golden/crm.html:7510 inqCtlHardDelete; local/crm.html:7819 inqCtlHardDelete","v2 purge 없음; 기존 보안계획 MFA 필요","CONTRACT_MISSING","기능은 삭제하지 않되 admin+AAL2 승인/보호계약 필요; 이번엔 실행금지","합성 연결문의 삭제거부·AAL1거부·감사; 운영 삭제금지"
"inquiry_reclassify","F25","brand 기술자문 구별; legacy_review_status","pushWrite/direct POST → n8n crm-write op=inquiry_reclassify","golden/crm.html:7477 inqTechReclassify; local/crm.html:7786 inqTechReclassify","v2 재분류/기술문의 scoped reader 없음","CONTRACT_MISSING","새 dashboard 초안에 기술문의 제외 규칙 없음","활성KPI 제외·전용탭에 원문유지·재분류 뒤 집계"
"inquiry_restore","F19","휴지통 원본","pushWrite/direct POST → n8n crm-write op=inquiry_restore","golden/crm.html:7509 inqCtlRestore; local/crm.html:7818 inqCtlRestore","v2 restore 없음","CONTRACT_MISSING","복원후 담당·상태·전환 관계 보존","복원후 활성·이력·범위 일치"
"inquiry_status","F14 F15 F17","문의 상태/배정/이력","pushWrite/direct POST → n8n crm-write op=inquiry_status","golden/crm.html:7478 inqTechPromote; golden/crm.html:7506 inqCtlConfirmReason; local/crm.html:7787 inqTechPromote; local/crm.html:7815 inqCtlConfirmReason","목적별 v2 회수/보류 RPC 없음","CONTRACT_MISSING","단순 status UPDATE로 배정/보류 이력 전체 의미 대체 불가","회수 뒤 담당NULL·미배정카드, 보류사유 필수·활성통계"
"inquiry_trash","F18","deleted_at/reason/by/purge_at/연결보호","pushWrite/direct POST → n8n crm-write op=inquiry_trash","golden/crm.html:7508 inqCtlConfirmTrash; local/crm.html:7817 inqCtlConfirmTrash","v2 trash 없음","CONTRACT_MISSING","soft-delete 의미·30일 대상 표시·연결문의 보호 보존","집계제외/원문보존/사유/actor 서버확정"
"inquiry_unassign","F14","문의 상태/배정/이력","pushWrite/direct POST → n8n crm-write op=inquiry_unassign","golden/crm.html:7506 inqCtlConfirmReason; local/crm.html:7815 inqCtlConfirmReason","목적별 v2 회수/보류 RPC 없음","CONTRACT_MISSING","단순 status UPDATE로 배정/보류 이력 전체 의미 대체 불가","회수 뒤 담당NULL·미배정카드, 보류사유 필수·활성통계"
"lineage_link","F17 F56","origin_inquiry_id/client_ref/기존 연결 Deal","pushWrite/direct POST → n8n crm-write op=lineage_link","golden/crm.html:5977 linkConfirm; local/crm.html:6269 linkConfirm","원자적 inquiry-convert v2 없음","CONTRACT_MISSING","원문·상담담당·브랜드·공종·UUID 영업담당·전환시점/중복방지 필요","견적단계전환·원문의 보존·재시도 Deal1개·PC모바일 동일 링크"
"message_log","F43 F45","stage/contact/work/Next/lastMeaningful/lastOutbound","pushWrite/direct POST → n8n crm-write op=message_log","golden/crm.html:7215 relationshipConfirm; golden/crm.html:7382 relV8PurposeChanged; golden/mobile.html:2336 rmConfirmM; golden/mobile.html:2511 relPurposeChangedM; local/crm.html:7524 relationshipConfirm; local/crm.html:7691 relV8PurposeChanged; local/crm.html:7967 openContextualMaterial; local/mobile.html:2338 rmConfirmM; local/mobile.html:2513 relPurposeChangedM; local/mobile.html:2571 openContextualMaterialM","messaging scoped read/write 없음","CONTRACT_MISSING","추천2~3개/내용편집/초안·실제발송확인·후속Next 유지","단계/계절/견적템플릿·개별Deal맥락·copy≠sent"
"message_stage_advanced","F45","message_logs/response/stage_advanced","pushWrite/direct POST → n8n crm-write op=message_stage_advanced","golden/crm.html:7387 relV8PurposeChanged; golden/mobile.html:2515 relPurposeChangedM; local/crm.html:7696 relV8PurposeChanged; local/mobile.html:2517 relPurposeChangedM","v2 message audit 계약 없음","CONTRACT_MISSING","발송→응답→Next→Stage연결·실패/보류/자유작성등급·actorUUID 필요","로그/활동/후속Next 일관성·실패시sent금지·반복확인 멱등"
"next_action","F16 F35 F36","문의 nextAction + assigned owner","pushWrite/direct POST → n8n crm-write op=next_action","golden/crm.html:3401 todoDelay; golden/crm.html:4407 saveNextAction; golden/crm.html:4505 confirmTransition; golden/crm.html:5728 spSaveNext; golden/crm.html:5767 spSaveStage; golden/crm.html:7207 relationshipSchedule; golden/crm.html:7215 relationshipConfirm; golden/crm.html:7365 relV8Hold; golden/crm.html:7382 relV8PurposeChanged; golden/crm.html:7568 dccSaveWaitingContext; golden/mobile.html:782 setNextAction; golden/mobile.html:2334 rmScheduleM; golden/mobile.html:2379 applyTodayPostponeM; local/crm.html:3557 todoDelay; local/crm.html:4678 saveNextAction; local/crm.html:4780 confirmTransition; local/crm.html:6017 spSaveNext; local/crm.html:6058 spSaveStage; local/crm.html:7516 relationshipSchedule; local/crm.html:7524 relationshipConfirm; local/crm.html:7674 relV8Hold; local/crm.html:7691 relV8PurposeChanged; local/crm.html:7879 dccSaveWaitingContext; local/crm.html:7967 openContextualMaterial; local/issue-modal.js:67 save; local/mobile.html:777 setNextAction; local/mobile.html:2336 rmScheduleM; local/mobile.html:2381 applyTodayPostponeM; local/stage-transition-ui.js:74 save","crm_next_add/complete 초안; 연기 미구현","CONTRACT_MISSING","문의 followup·연기사유/횟수·채널·일정 유형 보존 부족","문의/Deal ID 분리·완료와 단순열기 구분·연기후 날짜/이력"
"next_action_complete","F16 F36","문의 nextAction + assigned owner","pushWrite/direct POST → n8n crm-write op=next_action_complete","golden/crm.html:3390 todoDone; golden/mobile.html:786 completeNextAction; local/crm.html:3546 todoDone; local/issue-modal.js:66 save; local/mobile.html:781 completeNextAction","crm_next_add/complete 초안; 연기 미구현","CONTRACT_MISSING","문의 followup·연기사유/횟수·채널·일정 유형 보존 부족","문의/Deal ID 분리·완료와 단순열기 구분·연기후 날짜/이력"
"opportunity_create","F17 F26 F34","origin_inquiry_id/client_ref/기존 연결 Deal","pushWrite/direct POST → n8n crm-write op=opportunity_create","golden/crm.html:6283 autoPromote; golden/crm.html:6472 promoteToPipeline; golden/crm.html:6903 saveNewDeal; golden/crm.html:7478 inqTechPromote; golden/mobile.html:1684 spawnExpansion; golden/mobile.html:2129 addProspect; local/crm.html:6576 autoPromote; local/crm.html:6767 promoteToPipeline; local/crm.html:7204 saveNewDeal; local/crm.html:7787 inqTechPromote; local/mobile.html:2124 addProspect","원자적 inquiry-convert v2 없음","CONTRACT_MISSING","원문·상담담당·브랜드·공종·UUID 영업담당·전환시점/중복방지 필요","견적단계전환·원문의 보존·재시도 Deal1개·PC모바일 동일 링크"
"opportunity_touch","F53","user_opportunity_states + favorite/last_viewed/worked","pushWrite/direct POST → n8n crm-write op=opportunity_touch","golden/crm.html:7294 execTouch; golden/mobile.html:2429 execTrackM; local/crm.html:7603 execTouch; local/mobile.html:2431 execTrackM","AuthUID 기반 user-state v2 없음","CONTRACT_MISSING","client user_key 신뢰제거하면서 빠른현장 기능 유지","임의 user_key 거절·계정격리·PC모바일공유·타site혼입0"
"opportunity_work_set","F33","primaryWork/workItems/workScopeType/workSummary","pushWrite/direct POST → n8n crm-write op=opportunity_work_set","golden/crm.html:6850 saveWorkEdit; golden/mobile.html:1557 saveWorkSheetM; local/crm.html:7145 saveWorkEdit; local/mobile.html:1555 saveWorkSheetM","crm_work_set_scoped_v2(uuid,text,jsonb,text,integer,text)","V2_IMPLEMENTED_NOT_UI_CONNECTED","기존 work editor와 미연결; actor 없는 새5인자 초안 미적용. 기존 multi/primary/기타 정본 보존","단일/복합/기타/대표필수·기존미분류 보존·version conflict"
"quote_version","F49","quote_versions/current_quote/won_amount","pushWrite/direct POST → n8n crm-write op=quote_version","golden/crm.html:7248 saveExecQuoteVersion; golden/mobile.html:2396 saveQuoteVersionM; local/crm.html:7557 saveExecQuoteVersion; local/mobile.html:2398 saveQuoteVersionM","quote-version v2 없음","CONTRACT_MISSING","V1/V2/V3 append-only·발송시각·최종계약차액 보존","동시추가versionunique·과거불변·빈사유·권한·PC모바일"
"relationship_hold","F46","meaningful/outbound/attempts/hold/wake/score","pushWrite/direct POST → n8n crm-write op=relationship_hold","golden/crm.html:7365 relV8Hold; golden/mobile.html:2500 relHoldM; local/crm.html:7674 relV8Hold; local/mobile.html:2502 relHoldM","relationship scoped aggregate/mutation 없음","CONTRACT_MISSING","HOT/WARM/COOL/DORMANT·NextBestAction·holduntil 동일 계산","회신으로 무응답리셋·장기보류 제외·실주후재활성·실접촉주기"
"relationship_response","F45 F46","message_logs/response/stage_advanced","pushWrite/direct POST → n8n crm-write op=relationship_response","golden/crm.html:7385 relV8PurposeChanged; golden/mobile.html:2513 relPurposeChangedM; local/crm.html:7694 relV8PurposeChanged; local/mobile.html:2515 relPurposeChangedM","v2 message audit 계약 없음","CONTRACT_MISSING","발송→응답→Next→Stage연결·실패/보류/자유작성등급·actorUUID 필요","로그/활동/후속Next 일관성·실패시sent금지·반복확인 멱등"
"rep_manager_comment","L03","본사6명 flow/부하/stage/댓글","pushWrite/direct POST → n8n crm-write op=rep_manager_comment","local/crm.html:3831 repManagerSaveComment; local/crm.html:3832 repManagerToggleComment","rep-management v2 없음","CONTRACT_MISSING","Golden에는관리센터미포함; 주차약속/코멘트점수제외 보존","주차저장·진행+신규×2+연체×3+(오늘+미응대)×2·branch제외"
"service_change","F26","Deal service/brand/advisory/origin lineage","pushWrite/direct POST → n8n crm-write op=service_change","golden/crm.html:6822 confirmBizChange; golden/mobile.html:1782 commitBiz; local/crm.html:7117 confirmBizChange; local/mobile.html:1775 commitBiz","v2 business-type/technical-convert 없음","CONTRACT_MISSING","기술자문은 Pipeline 사업유형; 상담브랜드로 임의전환 금지","기존유입보존·자문상세/금액·한번전환·타 사업 변경이력"
"stage_check","F47","stage + contacts/work/quote/Next/attachments/activities","pushWrite/direct POST → n8n crm-write op=stage_check","golden/crm.html:7234 toggleExecGuide; golden/crm.html:7320 toggleExecGuide; golden/mobile.html:2385 toggleStageGuideM; golden/mobile.html:2458 toggleStageGuideM; local/crm.html:7543 toggleExecGuide; local/crm.html:7629 toggleExecGuide; local/mobile.html:2387 toggleStageGuideM; local/mobile.html:2460 toggleStageGuideM","checklist v2 없음","CONTRACT_MISSING","자동항목 직접체크금지·필수미완료는경고·stage별정본 보존","전stage자동조건·수동toggle·기존항목index·두기기동기화"
"transition","F28 F29","STAGE_MASTER/PIPE_NO/PIPE_PROGRESS","pushWrite/direct POST → n8n crm-write op=transition","golden/crm.html:4504 confirmTransition; golden/crm.html:5766 spSaveStage; golden/crm.html:6267 autoPromote; golden/crm.html:6464 promoteToPipeline; golden/mobile.html:1708 commitMove; local/crm.html:4778 confirmTransition; local/crm.html:6057 spSaveStage; local/crm.html:6560 autoPromote; local/crm.html:6759 promoteToPipeline; local/mobile.html:1701 commitMove","crm_deal_stage_scoped_v2 초안 보류","CONTRACT_MISSING","Golden은 expansion Stage 존재; local은 제거+Pool. 둘을 자동합치지 말고 결정이력 필요","전 Stage 후보/순서/확률/SLA/종료분류 Golden과 비교"
"waiting_context","F39","waiting_reason/recontact/입대의일정·최근접촉·이슈","pushWrite/direct POST → n8n crm-write op=waiting_context","golden/crm.html:7568 dccSaveWaitingContext; golden/crm.html:7613 dccDecorateDetail; local/crm.html:7879 dccSaveWaitingContext; local/crm.html:7943 dccDecorateDetail","v2 command-center projection/context 없음","CONTRACT_MISSING","핵심상세 탭/카드·입력·위험해소 근거 보존","무활동/Next없음/기한초과 카드→기존동작·저장후실제해소만"
"win","F30","outcome/closed_at/lost_kind/기존stage/won_amount","pushWrite/direct POST → n8n crm-write op=win","golden/mobile.html:1673 amtOk; local/mobile.html:1672 amtOk","terminal v2 계약 없음","CONTRACT_MISSING","뺏김/놓침/기타·견적/영업 배드핏·Closed 통계 보존","종료 전 단계 기록·Next 종료정책·매출/분류·원본보존"
